Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,POSIX
403,40199.333333333336,781139.0,3.9380167,3529965,1721144350342
404,40299.375,1937580.0,6.520575,11519115,1721144350442
405,40400.166666666664,1598222.0,5.405815,9910830,1721144350543
406,40499.39583333333,1612865.0,5.5995655,9505380,1721144350642
407,40599.125,1210132.0,4.576945,6546360,1721144350742
408,40699.9375,857976.0,3.5962698,3352485,1721144350842
409,40799.354166666664,1373895.0,4.8938456,8348955,1721144350942
410,40899.6875,1832402.0,6.5171,11650950,1721144351042
411,40999.354166666664,957533.0,3.7071195,4945215,1721144351142
412,41099.104166666664,1215924.0,4.843828,5974140,1721144351242
413,41199.85416666667,2110036.0,7.7460947,12508005,1721144351342
414,41299.9375,2212581.0,7.808424,13319415,1721144351442
415,41399.35416666667,2269407.0,7.884226,13388775,1721144351542
416,41499.4375,1438254.0,5.481168,9070860,1721144351642
417,41599.4375,1453740.0,5.034102,9972540,1721144351742
418,41700.020833333336,1818241.0,7.1822963,11705520,1721144351843
419,41799.395833333336,1737000.0,6.521863,11522430,1721144351942
420,41899.479166666664,792911.0,3.234066,3667665,1721144352042
421,41999.125,1770392.0,5.6210217,10547565,1721144352142
422,42100.041666666664,1740294.0,6.613817,11362800,1721144352243
423,42199.5625,1039919.0,3.8299031,5690070,1721144352342
424,42299.458333333336,2787050.0,9.688509,16485495,1721144352442
425,42399.3125,4676079.0,7.090905,8540715,1721144352542
426,42500.08333333333,1265990.0,3.0557222,2818515,1721144352643
427,42599.291666666664,413062.0,2.806142,2298825,1721144352742
428,42699.604166666664,903944.0,3.827786,2950350,1721144352842
429,42799.08333333333,449884.0,1.5502666,550800,1721144352942
430,42899.3125,594609.0,2.5129755,1654185,1721144353042
431,42999.4375,681969.0,3.05476,2662710,1721144353142
432,43099.3125,592271.0,3.0663488,2339370,1721144353242
433,43199.416666666664,1624238.0,5.1031175,5044665,1721144353342
434,43299.3125,1373174.0,5.1657505,7087725,1721144353442
435,43399.4375,1185472.0,5.052476,5960370,1721144353542
436,43498.99999999999,967369.0,4.184589,4761105,1721144353642
437,43599.125,1177816.0,4.9682813,5472555,1721144353742
438,43699.12499999999,421326.0,1.8178211,816000,1721144353842
439,43799.3125,1452686.0,4.9936566,5764785,1721144353942
440,43899.0625,791732.0,4.317287,4020330,1721144354042
441,43999.39583333333,755741.0,4.1105447,3491715,1721144354142
442,44099.041666666664,946887.0,3.8427634,3253035,1721144354242
443,44199.729166666664,269348.0,1.3202605,489345,1721144354342
444,44299.08333333333,887660.0,3.602453,2814180,1721144354442
445,44399.4375,1227790.0,4.867154,5216535,1721144354542
446,44499.3125,917585.0,4.594593,4754220,1721144354642
447,44599.20833333333,461618.0,1.5443685,841500,1721144354742
448,44699.0625,770365.0,3.7358878,2833050,1721144354842
449,44799.354166666664,415852.0,1.6158806,708390,1721144354942
450,44899.208333333336,657659.0,2.9751608,2388840,1721144355042
451,44999.291666666664,399597.0,1.8357378,1343850,1721144355142
452,45099.27083333333,397377.0,1.6099714,1244400,1721144355242
453,45199.104166666664,1411028.0,4.260396,4484175,1721144355342
454,45299.395833333336,332897.0,1.690907,1155405,1721144355442
